tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1297844916031283200	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	yes_discusses_cure
1241050230910525441	yes	4_yes_probably_contains_false_info	4_yes_probably_of_interest	4_yes_probably_harmful	yes_not_urgent	yes_panic	yes_classified_as_in_question_6
1366702364191817735	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1293904843057197059	no	NA	NA	NA	NA	yes_rumor_conspiracy	yes_classified_as_in_question_6
1293258125508849667	no	NA	NA	NA	NA	yes_xenophobic_racist_prejudices_or_hate_speech	yes_classified_as_in_question_6
1293741103892639744	no	NA	NA	NA	NA	yes_rumor_conspiracy	no_not_interesting
1367191225523142658	yes	4_yes_probably_contains_false_info	5_yes_definitely_of_interest	4_yes_probably_harmful	no_too_trivial_to_check	yes_panic	yes_discusses_action_taken
1261364335152181249	no	NA	NA	NA	NA	no_not_harmful	yes_discusses_action_taken
1292567625071984640	no	NA	NA	NA	NA	yes_rumor_conspiracy	yes_classified_as_in_question_6
1298319002134032390	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	4_yes_probably_harmful	yes_not_urgent	yes_panic	yes_asks_question
1366470458556710912	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1293135522592894982	yes	4_yes_probably_contains_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	yes_discusses_cure
1293316629372317697	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	5_yes_definitely_harmful	yes_very_urgent	yes_rumor_conspiracy	yes_classified_as_in_question_6
1366516159156215809	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1366800128426844162	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1254164155285884928	yes	4_yes_probably_contains_false_info	2_no_probably_not_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	not_sure
1293135227867607040	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
