tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1283842779135827971	no	NA	NA	NA	NA	no	no
1256941692017614849	yes	no	yes	no	no	no	no
1293089167568785409	yes	no	yes	no	no	no	no
1252279781372149766	no	NA	NA	NA	NA	no	no
1260568724584759300	no	NA	NA	NA	NA	no	no
1284010236546887682	yes	no	yes	no	no	no	no
1239148716956712960	no	NA	NA	NA	NA	no	no
1263354587303428096	no	NA	NA	NA	NA	no	no
1248794144954355713	no	NA	NA	NA	NA	no	no
1239844786267475970	yes	no	yes	no	yes	no	no
1283645135356657664	no	NA	NA	NA	NA	no	no
1291717615061274625	no	NA	NA	NA	NA	no	no
1265216274566610944	no	NA	NA	NA	NA	no	no
1257958994913554436	no	NA	NA	NA	NA	no	no
1297079056052170754	no	NA	NA	NA	NA	no	no
1247950338990190592	no	NA	NA	NA	NA	no	no
1242023990018945025	yes	no	yes	no	no	no	no
1253585047279611907	no	NA	NA	NA	NA	no	no
1245630362497105925	no	NA	NA	NA	NA	no	no
1269942605883809792	no	NA	NA	NA	NA	no	no
1236415647854276609	no	NA	NA	NA	NA	no	no
1255520478749511688	yes	no	yes	no	no	no	yes
1250807980800520199	no	NA	NA	NA	NA	no	no
1253631826255581184	no	NA	NA	NA	NA	no	no
1245038870284075009	no	NA	NA	NA	NA	no	no
1237842276832792578	no	NA	NA	NA	NA	no	no
1242073540154789890	no	NA	NA	NA	NA	no	no
1270962007647440896	yes	no	yes	no	no	no	no
1231857531955314688	no	NA	NA	NA	NA	no	no
1254681072564088832	yes	no	yes	no	no	no	no
1284018759255154688	no	NA	NA	NA	NA	no	no
1285612153614020609	no	NA	NA	NA	NA	no	no
1271422748208791554	no	NA	NA	NA	NA	no	no
1256532557673480192	no	NA	NA	NA	NA	yes	yes
1238923080006873090	yes	no	yes	no	yes	no	yes
1253559503183888384	yes	no	yes	no	no	no	no
1249390214696632320	no	NA	NA	NA	NA	no	no
1260973306649378830	no	NA	NA	NA	NA	no	no
1243214954326614018	no	NA	NA	NA	NA	no	no
1257666397175504897	no	NA	NA	NA	NA	no	no
1280424801383993345	yes	no	yes	no	no	no	no
1243219464507789313	no	NA	NA	NA	NA	no	no
