tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1283842779135827971	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1256941692017614849	yes	1_no_definitely_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1293089167568785409	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1252279781372149766	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1260568724584759300	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1284010236546887682	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1239148716956712960	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1263354587303428096	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1248794144954355713	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1239844786267475970	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	2_no_probably_not_harmful	yes_not_urgent	no_not_harmful	no_not_interesting
1283645135356657664	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1291717615061274625	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1265216274566610944	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1257958994913554436	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1297079056052170754	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1247950338990190592	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1242023990018945025	yes	1_no_definitely_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1253585047279611907	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245630362497105925	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1269942605883809792	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1236415647854276609	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1255520478749511688	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_no_need_to_check	no_not_harmful	yes_discusses_action_taken
1250807980800520199	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1253631826255581184	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1245038870284075009	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1237842276832792578	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1242073540154789890	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1270962007647440896	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1231857531955314688	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1254681072564088832	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1284018759255154688	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1285612153614020609	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1271422748208791554	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1256532557673480192	no	NA	NA	NA	NA	yes_rumor_conspiracy	yes_blame_authorities
1238923080006873090	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	2_no_probably_not_harmful	yes_very_urgent	no_not_harmful	yes_discusses_cure
1253559503183888384	yes	1_no_definitely_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1249390214696632320	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1260973306649378830	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1243214954326614018	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1257666397175504897	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1280424801383993345	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1243219464507789313	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1276185622429020162	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1260829906054844416	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1292371034126065665	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1233109558115098626	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1254178801325608960	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1242396242472247296	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1273141258094084096	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1237804966225608711	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
