tweet_id	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label
1359350943356174337	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1350165688061669378	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1369749539154919425	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1350164995686936578	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1370008076489789440	yes	1_no_definitely_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1367726730044207104	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1365684673205084166	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1369888483414712322	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1370003879455297540	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1354166371526041603	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1357381185505288200	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1367232803071422464	no	NA	NA	NA	NA	yes_rumor_conspiracy	yes_classified_as_in_question_6
1368585187500691461	yes	3_not_sure	4_yes_probably_of_interest	4_yes_probably_harmful	yes_not_urgent	yes_rumor_conspiracy	yes_classified_as_in_question_6
1368249497734713346	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367921612780081155	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1355801491190280192	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1366637116097060867	no	NA	NA	NA	NA	no_joke_or_sarcasm	no_not_interesting
1365324501475594243	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1366814345443872769	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1369771518239072260	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1350907284575043584	yes	3_not_sure	5_yes_definitely_of_interest	4_yes_probably_harmful	yes_not_urgent	yes_rumor_conspiracy	yes_classified_as_in_question_6
1369770494703116296	no	NA	NA	NA	NA	no_not_harmful	yes_calls_for_action
1370453239309680640	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367517694279393282	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	4_yes_probably_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367555102291148801	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1365752431489912833	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1365385808316944386	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367295604703993856	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367586954502492161	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1366074035348467712	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1364402806992568320	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1360255266672021504	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1364973838233194497	no	NA	NA	NA	NA	no_not_harmful	yes_calls_for_action
1369998582435229696	yes	2_no_probably_contains_no_false_info	5_yes_definitely_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367201792002576385	no	NA	NA	NA	NA	yes_xenophobic_racist_prejudices_or_hate_speech	no_not_interesting
1370174548411305990	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1363024347066208256	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1365057186334994443	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1369375694451531781	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1369512362873589760	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1370003882236084231	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1364671748977946631	no	NA	NA	NA	NA	no_not_harmful	no_not_interesting
1367808327720329218	no	NA	NA	NA	NA	no_not_harmful	yes_blame_authorities
1370191018243465219	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_no_need_to_check	no_not_harmful	no_not_interesting
1365011945108176901	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1369788331232493573	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1369591200093732864	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	1_no_definitely_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
1367254708713369600	no	NA	NA	NA	NA	no_not_harmful	yes_calls_for_action
1356605799766745090	yes	2_no_probably_contains_no_false_info	4_yes_probably_of_interest	2_no_probably_not_harmful	no_too_trivial_to_check	no_not_harmful	no_not_interesting
